No.;Time;Source;Destination;Protocol;Length;Info
1;0.000000000;Cisco_3a:f6:14;CDP/VTP/DTP/PAgP/UDLD;DTP;60;Dynamic Trunk Protocol
2;0.000094844;Cisco_3a:f6:14;CDP/VTP/DTP/PAgP/UDLD;DTP;90;Dynamic Trunk Protocol
3;0.025398132;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
4;0.373002949;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
5;0.643481968;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
6;1.394032439;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
7;1.663479203;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
8;2.030578050;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
9;2.418023130;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
10;2.481419879;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.254? Tell 172.16.50.1
11;2.481539098;HewlettP_c3:78:70;HewlettP_61:2d:72;ARP;60;172.16.1.254 is at 00:21:5a:c3:78:70
12;2.481546291;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=1/256, ttl=64 (reply in 13)
13;2.481682063;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=1/256, ttl=64 (request in 12)
14;3.481486018;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=2/512, ttl=64 (reply in 15)
15;3.481621371;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=2/512, ttl=64 (request in 14)
16;4.035135613;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
17;4.511534393;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=3/768, ttl=64 (reply in 18)
18;4.511668907;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=3/768, ttl=64 (request in 17)
19;4.621401297;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
20;5.378628595;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
21;5.535522639;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=4/1024, ttl=64 (reply in 22)
22;5.535672518;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=4/1024, ttl=64 (request in 21)
23;5.631482746;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
24;6.040200922;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
25;6.386047555;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
26;6.559522059;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=5/1280, ttl=64 (reply in 27)
27;6.559654828;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=5/1280, ttl=64 (request in 26)
28;6.655482446;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
29;7.410048373;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
30;7.583523435;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=6/1536, ttl=64 (reply in 31)
31;7.583650267;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=6/1536, ttl=64 (request in 30)
32;7.666042518;HewlettP_c3:78:70;HewlettP_61:2d:72;ARP;60;Who has 172.16.50.1? Tell 172.16.1.254
33;7.666049293;HewlettP_61:2d:72;HewlettP_c3:78:70;ARP;42;172.16.50.1 is at 00:21:5a:61:2d:72
34;7.978071793;Cisco_3a:f6:14;CDP/VTP/DTP/PAgP/UDLD;CDP;451;Device ID: tux-sw5  Port ID: FastEthernet0/18  
35;8.044849768;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
36;8.584532642;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=7/1792, ttl=64 (reply in 37)
37;8.584667017;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=7/1792, ttl=64 (request in 36)
38;8.934516114;Cisco_3a:f6:14;Cisco_3a:f6:14;LOOP;60;Reply
39;9.599529591;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=8/2048, ttl=64 (reply in 40)
40;9.599694067;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=8/2048, ttl=64 (request in 39)
41;9.623636218;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
42;10.049816111;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
