"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","9.9.9.9","DNS","84","Standard query 0x74d6 A parlamento.pt OPT"
"2","0.000045485","10.0.2.15","9.9.9.9","DNS","84","Standard query 0x52da AAAA parlamento.pt OPT"
"3","0.121168455","9.9.9.9","10.0.2.15","DNS","134","Standard query response 0x52da AAAA parlamento.pt SOA ns2.parlamento.pt OPT"
"4","0.144248211","9.9.9.9","10.0.2.15","DNS","100","Standard query response 0x74d6 A parlamento.pt A 88.157.195.115 OPT"
"5","0.144756928","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=1/256, ttl=64 (reply in 6)"
"6","0.155616837","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=1/256, ttl=63 (request in 5)"
"7","0.155876823","10.0.2.15","9.9.9.9","DNS","98","Standard query 0x7779 PTR 115.195.157.88.in-addr.arpa OPT"
"8","0.212786897","9.9.9.9","10.0.2.15","DNS","168","Standard query response 0x7779 PTR 115.195.157.88.in-addr.arpa PTR parlamento.pt PTR www.parlamento.pt PTR biblioteca.parlamento.pt OPT"
"9","1.146010818","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=2/512, ttl=64 (reply in 10)"
"10","1.155719134","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=2/512, ttl=63 (request in 9)"
"11","2.147153326","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=3/768, ttl=64 (reply in 12)"
"12","2.157149487","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=3/768, ttl=63 (request in 11)"
"13","3.148588524","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=4/1024, ttl=64 (reply in 14)"
"14","3.159831703","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=4/1024, ttl=63 (request in 13)"
"15","4.150196891","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=5/1280, ttl=64 (reply in 16)"
"16","4.159953504","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=5/1280, ttl=63 (request in 15)"
"17","5.152299161","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=6/1536, ttl=64 (reply in 18)"
"18","5.161936234","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=6/1536, ttl=63 (request in 17)"
"19","6.154300632","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=7/1792, ttl=64 (reply in 20)"
"20","6.164098792","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=7/1792, ttl=63 (request in 19)"
"21","7.155482839","10.0.2.15","88.157.195.115","ICMP","98","Echo (ping) request  id=0x0005, seq=8/2048, ttl=64 (reply in 22)"
"22","7.165167138","88.157.195.115","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0005, seq=8/2048, ttl=63 (request in 21)"
"23","14.263080303","fe80::14e5:f79b:cf88:1e06","ff02::fb","MDNS","102","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"24","14.263193820","10.0.2.15","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"25","16.081012070","10.0.2.15","91.189.89.199","NTP","90","NTP Version 4, client"
"26","16.126487236","91.189.89.199","10.0.2.15","NTP","90","NTP Version 4, server"
"27","21.251102952","PcsCompu_b9:04:55","RealtekU_12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"28","21.251293074","RealtekU_12:35:02","PcsCompu_b9:04:55","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
