"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","104.17.113.188","UDP","74","56039  >  33434 Len=32"
"2","0.000059691","10.0.2.15","104.17.113.188","UDP","74","33434  >  33435 Len=32"
"3","0.000080790","10.0.2.15","104.17.113.188","UDP","74","59332  >  33436 Len=32"
"4","0.000098002","10.0.2.15","104.17.113.188","UDP","74","57105  >  33437 Len=32"
"5","0.000169174","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"6","0.000169285","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"7","0.000169325","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"8","0.000212335","10.0.2.15","104.17.113.188","UDP","74","45462  >  33438 Len=32"
"9","0.000279329","10.0.2.15","104.17.113.188","UDP","74","38625  >  33439 Len=32"
"10","0.000334803","10.0.2.15","104.17.113.188","UDP","74","52204  >  33440 Len=32"
"11","0.000387250","10.0.2.15","104.17.113.188","UDP","74","46970  >  33441 Len=32"
"12","0.000440299","10.0.2.15","104.17.113.188","UDP","74","32863  >  33442 Len=32"
"13","0.000493337","10.0.2.15","104.17.113.188","UDP","74","52344  >  33443 Len=32"
"14","0.000544613","10.0.2.15","104.17.113.188","UDP","74","50222  >  33444 Len=32"
"15","0.000597201","10.0.2.15","104.17.113.188","UDP","74","46689  >  33445 Len=32"
"16","0.000656561","10.0.2.15","104.17.113.188","UDP","74","33571  >  33446 Len=32"
"17","0.000708187","10.0.2.15","104.17.113.188","UDP","74","58407  >  33447 Len=32"
"18","0.000771014","10.0.2.15","104.17.113.188","UDP","74","35407  >  33448 Len=32"
"19","0.000834572","10.0.2.15","104.17.113.188","UDP","74","38261  >  33449 Len=32"
"20","0.001029224","10.0.2.15","104.17.113.188","UDP","74","44129  >  33450 Len=32"
"21","0.001058499","10.0.2.15","104.17.113.188","UDP","74","41050  >  33451 Len=32"
"22","0.001073737","10.0.2.15","104.17.113.188","UDP","74","37668  >  33452 Len=32"
"23","0.002058208","192.168.1.1","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"24","0.003855952","192.168.1.1","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"25","0.003856483","192.168.1.1","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"26","0.004677169","94.60.0.2","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"27","0.005211162","94.60.0.2","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"28","0.005211733","94.60.0.2","10.0.2.15","ICMP","102","Time-to-live exceeded (Time to live exceeded in transit)"
"29","0.010123789","83.174.50.24","10.0.2.15","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"30","0.010695132","83.174.50.24","10.0.2.15","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"31","0.010828800","83.174.50.24","10.0.2.15","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"32","0.010853056","104.17.113.188","10.0.2.15","ICMP","102","Destination unreachable (Port unreachable)"
"33","0.010937933","104.17.113.188","10.0.2.15","ICMP","102","Destination unreachable (Port unreachable)"
"34","0.011856492","104.17.113.188","10.0.2.15","ICMP","102","Destination unreachable (Port unreachable)"
"35","0.011856852","104.17.113.188","10.0.2.15","ICMP","102","Destination unreachable (Port unreachable)"
"36","5.016260901","PcsCompu_b9:04:55","RealtekU_12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"37","5.016425347","RealtekU_12:35:02","PcsCompu_b9:04:55","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"38","31.926443508","10.0.2.15","10.0.2.3","DNS","100","Standard query 0x9beb AAAA connectivity-check.ubuntu.com OPT"
"39","31.932063392","10.0.2.3","10.0.2.15","DNS","100","Standard query response 0x9beb AAAA connectivity-check.ubuntu.com OPT"
"40","31.933530496","10.0.2.15","10.0.2.3","DNS","100","Standard query 0x2e97 AAAA connectivity-check.ubuntu.com OPT"
"41","31.936072547","10.0.2.3","10.0.2.15","DNS","100","Standard query response 0x2e97 AAAA connectivity-check.ubuntu.com OPT"
"42","31.936420912","10.0.2.15","10.0.2.3","DNS","104","Standard query 0x64e8 AAAA connectivity-check.ubuntu.com.lan OPT"
"43","31.947285727","10.0.2.3","10.0.2.15","DNS","104","Standard query response 0x64e8 No such name AAAA connectivity-check.ubuntu.com.lan OPT"
"44","31.947404656","10.0.2.15","10.0.2.3","DNS","93","Standard query 0x64e8 AAAA connectivity-check.ubuntu.com.lan"
"45","31.951371523","10.0.2.3","10.0.2.15","DNS","93","Standard query response 0x64e8 No such name AAAA connectivity-check.ubuntu.com.lan"
"46","37.017164139","PcsCompu_b9:04:55","RealtekU_12:35:03","ARP","42","Who has 10.0.2.3? Tell 10.0.2.15"
"47","37.017373045","RealtekU_12:35:03","PcsCompu_b9:04:55","ARP","60","10.0.2.3 is at 52:54:00:12:35:03"
