"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","10.0.2.3","DNS","78","Standard query 0x99a7 A who.int OPT"
"2","0.000098270","10.0.2.15","10.0.2.3","DNS","78","Standard query 0xc0e5 AAAA who.int OPT"
"3","0.058915282","10.0.2.3","10.0.2.15","DNS","322","Standard query response 0x99a7 A who.int A 104.17.113.188 NS ext-dns-2.cern.ch NS whqdns2.who.int NS whqdns3.who.int NS ns1.wpro.who.int NS whqdns1.who.int A 158.232.12.6 A 123.176.64.11 A 192.91.245.85 A 211.24.11.120 A 158.232.12.5 AAAA 2001:1458:1:2::100:85 OPT"
"4","0.062745119","10.0.2.3","10.0.2.15","DNS","133","Standard query response 0xc0e5 AAAA who.int SOA whqdns1.who.int OPT"
"5","0.063088518","10.0.2.15","104.17.113.188","UDP","74","39535  >  33434 Len=32"
"6","0.063121930","10.0.2.15","104.17.113.188","UDP","74","35676  >  33435 Len=32"
"7","0.063152736","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"8","0.063209139","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"9","0.063221472","10.0.2.15","104.17.113.188","UDP","74","49989  >  33436 Len=32"
"10","0.063262748","10.0.2.2","10.0.2.15","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"11","0.063280400","10.0.2.15","104.17.113.188","UDP","74","50087  >  33437 Len=32"
"12","0.063299756","10.0.2.15","104.17.113.188","UDP","74","38480  >  33438 Len=32"
"13","0.063343135","10.0.2.15","104.17.113.188","UDP","74","38134  >  33439 Len=32"
"14","0.063447516","10.0.2.15","104.17.113.188","UDP","74","57182  >  33440 Len=32"
"15","0.063511534","10.0.2.15","104.17.113.188","UDP","74","37787  >  33441 Len=32"
"16","0.063586912","10.0.2.15","104.17.113.188","UDP","74","47765  >  33442 Len=32"
"17","0.063681916","10.0.2.15","104.17.113.188","UDP","74","56944  >  33443 Len=32"
"18","0.063732579","10.0.2.15","104.17.113.188","UDP","74","39235  >  33444 Len=32"
"19","0.063831390","10.0.2.15","104.17.113.188","UDP","74","49251  >  33445 Len=32"
"20","0.063853170","10.0.2.15","104.17.113.188","UDP","74","33331  >  33446 Len=32"
"21","0.063965065","10.0.2.15","104.17.113.188","UDP","74","55961  >  33447 Len=32"
