"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","91.189.89.199","NTP","90","NTP Version 4, client"
"2","0.046793038","91.189.89.199","10.0.2.15","NTP","90","NTP Version 4, server"
"3","1.861218522","fe80::14e5:f79b:cf88:1e06","ff02::fb","MDNS","102","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"4","1.861336455","10.0.2.15","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"5","2.406961816","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=1/256, ttl=64 (reply in 6)"
"6","2.425515284","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=1/256, ttl=63 (request in 5)"
"7","3.409250959","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=2/512, ttl=64 (reply in 8)"
"8","3.427133721","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=2/512, ttl=63 (request in 7)"
"9","4.410620949","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=3/768, ttl=64 (reply in 10)"
"10","4.428339677","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=3/768, ttl=63 (request in 9)"
"11","5.411976983","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=4/1024, ttl=64 (reply in 12)"
"12","5.429968826","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=4/1024, ttl=63 (request in 11)"
"13","6.413301878","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=5/1280, ttl=64 (reply in 14)"
"14","6.431150596","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=5/1280, ttl=63 (request in 13)"
"15","7.415728356","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=6/1536, ttl=64 (reply in 16)"
"16","7.433545359","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=6/1536, ttl=63 (request in 15)"
"17","8.416446125","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=7/1792, ttl=64 (reply in 18)"
"18","8.434360413","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=7/1792, ttl=63 (request in 17)"
"19","9.417698262","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=8/2048, ttl=64 (reply in 20)"
"20","9.435360086","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=8/2048, ttl=63 (request in 19)"
"21","10.419615589","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=9/2304, ttl=64 (reply in 22)"
"22","10.437384471","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=9/2304, ttl=63 (request in 21)"
"23","11.423031201","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=10/2560, ttl=64 (reply in 24)"
"24","11.440795497","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=10/2560, ttl=63 (request in 23)"
"25","12.428496796","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=11/2816, ttl=64 (reply in 26)"
"26","12.446268517","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=11/2816, ttl=63 (request in 25)"
"27","13.429976064","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=12/3072, ttl=64 (reply in 28)"
"28","13.447401130","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=12/3072, ttl=63 (request in 27)"
"29","14.431946531","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=13/3328, ttl=64 (reply in 30)"
"30","14.449637801","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=13/3328, ttl=63 (request in 29)"
"31","15.434020253","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=14/3584, ttl=64 (reply in 32)"
"32","15.451647279","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=14/3584, ttl=63 (request in 31)"
"33","15.575803490","PcsCompu_b9:04:55","RealtekU_12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"34","15.575951549","RealtekU_12:35:02","PcsCompu_b9:04:55","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"35","16.435818944","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=15/3840, ttl=64 (reply in 36)"
"36","16.453392413","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=15/3840, ttl=63 (request in 35)"
"37","17.437742279","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=16/4096, ttl=64 (reply in 38)"
"38","17.455515134","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=16/4096, ttl=63 (request in 37)"
"39","18.438908626","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=17/4352, ttl=64 (reply in 40)"
"40","18.456439355","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=17/4352, ttl=63 (request in 39)"
"41","19.440834156","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=18/4608, ttl=64 (reply in 42)"
"42","19.458518228","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=18/4608, ttl=63 (request in 41)"
"43","20.442999435","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=19/4864, ttl=64 (reply in 44)"
"44","20.460744476","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=19/4864, ttl=63 (request in 43)"
"45","21.446346140","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=20/5120, ttl=64 (reply in 46)"
"46","21.463926857","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=20/5120, ttl=63 (request in 45)"
"47","22.447953918","10.0.2.15","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0001, seq=21/5376, ttl=64 (reply in 48)"
"48","22.465794993","142.250.200.142","10.0.2.15","ICMP","98","Echo (ping) reply    id=0x0001, seq=21/5376, ttl=63 (request in 47)"
"49","32.250390614","10.0.2.15","91.189.89.199","NTP","90","NTP Version 4, client"
"50","32.299898318","91.189.89.199","10.0.2.15","NTP","90","NTP Version 4, server"
"51","33.884619870","fe80::14e5:f79b:cf88:1e06","ff02::fb","MDNS","102","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"52","33.884709062","10.0.2.15","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"53","64.500101856","10.0.2.15","91.189.89.199","NTP","90","NTP Version 4, client"
"54","64.542384254","91.189.89.199","10.0.2.15","NTP","90","NTP Version 4, server"
"55","69.592011612","PcsCompu_b9:04:55","RealtekU_12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"56","69.592336474","RealtekU_12:35:02","PcsCompu_b9:04:55","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"57","96.750132523","10.0.2.15","91.189.89.199","NTP","90","NTP Version 4, client"
"58","96.796798647","91.189.89.199","10.0.2.15","NTP","90","NTP Version 4, server"
"59","97.918316575","fe80::14e5:f79b:cf88:1e06","ff02::fb","MDNS","102","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
